"cntr_contract_id","ead_reg_on_balance","rmds_on"
"021685982","225.330000000000000000","0.00000000"
"008411094","250.480000000000000000","0.00000000"
"036932449","1170.170000000000000000","0.00000000"
"049086347","959.940000000000000000","0.00000000"
"005624389","10509.010000000000000000","0.00000000"
"007175713","86541.400000000000000000","0.00000000"
"033665308","127830.690000000000000000","0.00000000"
"032599776","138448.230000000000000000","0.00000000"
"024785151","725.950000000000000000","0.00000000"
"030824760","72888.270000000000000000","0.00000000"
"011025034","30866.740000000000000000","0.00000000"
"019149909","225.310000000000000000","0.00000000"
"024933372","25280.390000000000000000","0.00000000"
"052124921","595.500000000000000000","0.00000000"
"019422590","1418.990000000000000000","0.00000000"
"003881496","702.450000000000000000","0.00000000"
"021827821","33899.430000000000000000","0.00000000"
"013724980","99.020000000000000000","0.00000000"
"035316529","81353.140000000000000000","0.00000000"
"012658044","3622.180000000000000000","0.00000000"
"015385178","99.340000000000000000","0.00000000"
"029552729","16876.570000000000000000","0.00000000"
"036056516","464.720000000000000000","0.00000000"
"045684028","61505.280000000000000000","0.00000000"
"021020314","223.370000000000000000","0.00000000"
"018896978","225.230000000000000000","0.00000000"
"019249812","225.380000000000000000","0.00000000"
"024381144","13938.690000000000000000","0.00000000"
"018673942","1078.690000000000000000","0.00000000"
"029760980","6028.450000000000000000","0.00000000"
"013104775","20169.580000000000000000","0.00000000"
"014522123","23179.440000000000000000","0.00000000"
"005461681","8464.440000000000000000","0.00000000"
"014214800","5076.620000000000000000","0.00000000"
"019523143","300.240000000000000000","0.00000000"
"030057265","66572.510000000000000000","0.00000000"
"031041526","12199.570000000000000000","0.00000000"
"020359015","15858.220000000000000000","0.00000000"
"019676867","246.920000000000000000","0.00000000"
"034877179","81434.580000000000000000","0.00000000"
"020472950","289.730000000000000000","0.00000000"
"019103233","157636.820000000000000000","0.00000000"
"020871179","40576.260000000000000000","0.00000000"
"029581075","75535.550000000000000000","0.00000000"
"024007318","42991.940000000000000000","0.00000000"
"025024905","1137.350000000000000000","0.00000000"
"019013970","45733.110000000000000000","0.00000000"
"011469069","99.010000000000000000","0.00000000"
"018439788","225.380000000000000000","0.00000000"
"021044390","18431.230000000000000000","0.00000000"
"042550595","225.410000000000000000","0.00000000"
"019300492","100583.460000000000000000","0.00000000"
"034096633","250.410000000000000000","0.00000000"
"018745702","17508.730000000000000000","0.00000000"
"019082707","1602.250000000000000000","0.00000000"
"024980781","61012.590000000000000000","0.00000000"
"008150999","14288.230000000000000000","0.00000000"
"018481723","21923.880000000000000000","0.00000000"
"035099367","30443.340000000000000000","0.00000000"
"020833117","85592.990000000000000000","0.00000000"
